 =======================================================================================

                     LuAIMD: An ab initio molecular dynamics program

                                 Author: Yun-ting Bu

 =======================================================================================

 Basis: 6-31G**
 Charge =  0   Spin multiplicity = 1

 Cartesian coordinates (in Angstroms):

   Atom           X                 Y                 Z       
  ------  ----------------  ----------------  ----------------
    O        0.00000000        0.00000000         0.12091400
    H        0.00000000        0.75666800        -0.48365800
    H        0.00000000       -0.75666800        -0.48365800

=======================================
          Molecular Dynamics
=======================================

 Nstep=  1000
 Time=   500.00 fs
 Velocity initialization: Maxwell-Boltzmann distribution, at   298.15 K.
 MD intergral method: Velocity_Verlet
 Thermostat: Berendsen
 Bath temperature:   298.15 K
 Relaxation time:  30.00 fs
 Cartesian coordinates will be given in: pos.xyz.
 Bond length and bond angle you have chosen will be given in: mole_geom.dat.

------MD step------

time(fs)     Etot(Hartree)      Ekin(Hartree)      Epot(Hartree)      T(K)      t_scf(s)     t_grad(s)
  140.00     -76.0219466899       0.0042401530     -76.0261868429     297.54        0.104        0.183
  140.50     -76.0222342468       0.0045156697     -76.0267499165     316.87        0.104        0.175
  141.00     -76.0226087087       0.0048689193     -76.0274776280     341.66        0.111        0.177
  141.50     -76.0228182149       0.0050570051     -76.0278752200     354.86        0.117        0.185
  142.00     -76.0226966529       0.0049226328     -76.0276192857     345.43        0.113        0.186
  142.50     -76.0222569529       0.0044830780     -76.0267400310     314.59        0.114        0.186
  143.00     -76.0216762926       0.0039141756     -76.0255904682     274.67        0.117        0.181
  143.50     -76.0211980019       0.0034536989     -76.0246517009     242.35        0.126        0.191
  144.00     -76.0210123554       0.0032846510     -76.0242970063     230.49        0.108        0.176
  144.50     -76.0211707350       0.0034521815     -76.0246229166     242.25        0.108        0.184
  145.00     -76.0215630375       0.0038437846     -76.0254068221     269.73        0.113        0.178
  145.50     -76.0219688795       0.0042423768     -76.0262112563     297.70        0.115        0.189
  146.00     -76.0221696275       0.0044372875     -76.0266069150     311.37        0.107        0.174
  146.50     -76.0220734766       0.0043444580     -76.0264179345     304.86        0.110        0.177
  147.00     -76.0217793284       0.0040641615     -76.0258434899     285.19        0.110        0.184
  147.50     -76.0215226099       0.0038248503     -76.0253474601     268.40        0.116        0.214
  148.00     -76.0215231327       0.0038357241     -76.0253588568     269.16        0.108        0.201
  148.50     -76.0218354875       0.0041445838     -76.0259800713     290.83        0.109        0.190
  149.00     -76.0223073670       0.0046006165     -76.0269079835     322.84        0.105        0.199
  149.50     -76.0226755529       0.0049491334     -76.0276246863     347.29        0.109        0.204
  150.00     -76.0227321046       0.0049920003     -76.0277241048     350.30        0.116        0.203
  150.50     -76.0224468948       0.0047044672     -76.0271513621     330.12        0.113        0.214
